20230730-113329-5734 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,19337> to <0,19337>
20230730-113329-5743 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,19337> to <0,19344>
20230730-113329-5745 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,19338> to <0,19344>
20230730-113330-9628 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,25367> to <0,25371>
20230730-113330-9682 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,25396> to <0,25398>
20230730-113330-9684 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,25396> to <0,25399>
20230730-113330-9687 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,25397> to <0,25399>
20230730-113330-9687 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,25397> to <0,25399>
20230730-113331-0484 00054 ! releaseForRead  (lockserver.cc:566): [3149422731082370073] state is wrong in lock: 65oGJQghNVJmx9EkEOqIS57Q20cR5JjNg3sRo5lrFaxiuCi2QIJIn7nqJ1qhB6Yk
20230730-113331-2049 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,26372> to <0,26375>
20230730-113331-2051 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,26374> to <0,26375>
20230730-113331-2054 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,26375> to <0,26377>
20230730-113331-2466 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,26555> to <0,26558>
20230730-113331-7853 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,28819> to <0,28821>
20230730-113332-3438 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,31561> to <0,31565>
20230730-113332-3440 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,31563> to <0,31566>
20230730-113332-3442 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,31565> to <0,31568>
20230730-113332-5014 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,32467> to <0,32467>
20230730-113332-5015 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,32467> to <0,32467>
20230730-113334-8286 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40537> to <0,40545>
20230730-113334-8291 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40537> to <0,40545>
20230730-113334-8298 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40538> to <0,40546>
20230730-113334-8300 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40538> to <0,40546>
20230730-113334-8302 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40539> to <0,40546>
20230730-113334-8302 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40539> to <0,40546>
20230730-113334-8304 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40540> to <0,40546>
20230730-113334-8305 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40540> to <0,40546>
20230730-113334-8306 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40541> to <0,40546>
20230730-113334-8306 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40541> to <0,40546>
20230730-113334-8307 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40542> to <0,40546>
20230730-113334-8312 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40542> to <0,40546>
20230730-113334-8313 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40543> to <0,40546>
20230730-113334-8314 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40543> to <0,40546>
20230730-113334-8317 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40544> to <0,40546>
20230730-113334-8319 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40544> to <0,40546>
20230730-113334-8320 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40545> to <0,40546>
20230730-113334-8321 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,40545> to <0,40546>
20230730-113335-1553 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42074> to <0,42076>
20230730-113335-1556 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42074> to <0,42076>
20230730-113335-1559 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42076> to <0,42077>
20230730-113335-1559 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42076> to <0,42077>
20230730-113335-1711 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42161> to <0,42162>
20230730-113335-1714 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42162> to <0,42165>
20230730-113335-2312 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42486> to <0,42489>
20230730-113335-2314 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42486> to <0,42490>
20230730-113335-2315 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42488> to <0,42490>
20230730-113335-2316 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42489> to <0,42490>
20230730-113335-2317 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42488> to <0,42490>
20230730-113335-2320 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,42489> to <0,42493>
20230730-113335-3370 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,43035> to <0,43041>
20230730-113335-5565 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,44229> to <0,44229>
20230730-113335-5565 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,44229> to <0,44229>
20230730-113335-6646 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,44900> to <0,44911>
20230730-113335-6647 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,44901> to <0,44912>
20230730-113335-7696 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45457> to <0,45461>
20230730-113335-7697 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45457> to <0,45461>
20230730-113335-7699 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45459> to <0,45462>
20230730-113335-7700 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45459> to <0,45462>
20230730-113335-8154 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45706> to <0,45709>
20230730-113335-8155 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45706> to <0,45709>
20230730-113335-8157 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45708> to <0,45710>
20230730-113335-8158 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45708> to <0,45710>
20230730-113335-8160 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45709> to <0,45710>
20230730-113335-8160 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45709> to <0,45710>
20230730-113335-8360 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45838> to <0,45841>
20230730-113335-8361 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,45841> to <0,45842>
20230730-113335-9296 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,46435> to <0,46438>
20230730-113335-9297 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,46437> to <0,46438>
20230730-113336-2520 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48244> to <0,48247>
20230730-113336-2522 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48246> to <0,48250>
20230730-113336-3650 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48951> to <0,48954>
20230730-113336-3652 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48952> to <0,48956>
20230730-113336-3655 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,48953> to <0,48959>
20230730-113338-0192 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57497> to <0,57499>
20230730-113338-0195 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,57498> to <0,57499>
20230730-113338-1989 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,58293> to <0,58296>
20230730-113338-1991 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,58295> to <0,58296>
20230730-113339-6069 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,64203> to <0,64205>
20230730-113339-7018 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,64440> to <0,64442>
20230730-113339-8458 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,64877> to <0,64878>
20230730-113339-8460 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,64877> to <0,64879>
20230730-113339-8995 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,65100> to <0,65114>
20230730-113340-1025 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,65593> to <0,65636>
20230730-113340-1030 00054 * SendMessageInternal (udptransport.cc:448): Sending large replication.vr.proto.StateTransferMessage message in 2 fragments
20230730-113340-3348 00054 * HandleRequestStateTransfer (replica.cc:753):   [0] Sending state transfer from <0,67162> to <0,67164>
